,country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
1664,BR,Brasil,27,Alagoas,AL,2700508,Barra de Santo Antônio,16201,0.557,"[2020, 2019, 2018, 2017, 2016]","[1113, 1157, 1189, 994, 981]"
1665,BR,Brasil,27,Alagoas,AL,2700607,Barra de São Miguel,8434,0.615,"[2020, 2019, 2018, 2017, 2016]","[1748, 2117, 2287, 2142, 1901]"
1666,BR,Brasil,27,Alagoas,AL,2700706,Batalha,18440,0.594,"[2020, 2019, 2018, 2017, 2016]","[1432, 1511, 1540, 1543, 1675]"
1667,BR,Brasil,27,Alagoas,AL,2700805,Belém,4226,0.593,"[2020, 2019, 2018, 2017, 2016]","[670, 582, 664, 556, 492]"
1668,BR,Brasil,27,Alagoas,AL,2700904,Belo Monte,6717,0.517,"[2020, 2019, 2018, 2017, 2016]","[369, 346, 351, 305, 371]"
1669,BR,Brasil,27,Alagoas,AL,2704906,Mar Vermelho,3474,0.5770000000000001,"[2020, 2019, 2018, 2017, 2016]","[326, 329, 318, 333, 337]"
1670,BR,Brasil,27,Alagoas,AL,2701001,Boca da Mata,27429,0.604,"[2020, 2019, 2018, 2017, 2016]","[2232, 2205, 2199, 2403, 2834]"
1671,BR,Brasil,27,Alagoas,AL,2701100,Branquinha,10426,0.513,"[2020, 2019, 2018, 2017, 2016]","[499, 536, 564, 614, 555]"
1672,BR,Brasil,27,Alagoas,AL,2701209,Cacimbinhas,10920,0.531,"[2020, 2019, 2018, 2017, 2016]","[884, 940, 1420, 779, 598]"
1673,BR,Brasil,27,Alagoas,AL,2701308,Cajueiro,21397,0.562,"[2020, 2019, 2018, 2017, 2016]","[1668, 1426, 1344, 1354, 2342]"
1674,BR,Brasil,27,Alagoas,AL,2701357,Campestre,6972,0.5589999999999999,"[2020, 2019, 2018, 2017, 2016]","[588, 600, 582, 580, 567]"
1675,BR,Brasil,27,Alagoas,AL,2701407,Campo Alegre,57997,0.57,"[2020, 2019, 2018, 2017, 2016]","[5517, 5868, 5397, 5070, 4452]"
1676,BR,Brasil,27,Alagoas,AL,2701506,Campo Grande,9576,0.524,"[2020, 2019, 2018, 2017, 2016]","[583, 617, 646, 661, 677]"
1677,BR,Brasil,27,Alagoas,AL,2701605,Canapi,17715,0.506,"[2020, 2019, 2018, 2017, 2016]","[690, 676, 666, 658, 864]"
1678,BR,Brasil,27,Alagoas,AL,2701704,Capela,16907,0.573,"[2020, 2019, 2018, 2017, 2016]","[1682, 1635, 1230, 1294, 1274]"
1679,BR,Brasil,27,Alagoas,AL,2701803,Carneiros,9568,0.526,"[2020, 2019, 2018, 2017, 2016]","[488, 451, 455, 477, 482]"
1680,BR,Brasil,27,Alagoas,AL,2701902,Chã Preta,7311,0.575,"[2020, 2019, 2018, 2017, 2016]","[412, 460, 463, 414, 428]"
1681,BR,Brasil,27,Alagoas,AL,2702009,Coité do Nóia,10594,0.5329999999999999,"[2020, 2019, 2018, 2017, 2016]","[528, 576, 553, 571, 577]"
1682,BR,Brasil,27,Alagoas,AL,2702108,Colônia Leopoldina,21935,0.517,"[2020, 2019, 2018, 2017, 2016]","[2168, 2506, 2126, 2159, 1965]"
1683,BR,Brasil,27,Alagoas,AL,2702207,Coqueiro Seco,5882,0.586,"[2020, 2019, 2018, 2017, 2016]","[654, 651, 614, 619, 396]"
1684,BR,Brasil,27,Alagoas,AL,2702306,Coruripe,57647,0.626,"[2020, 2019, 2018, 2017, 2016]","[12251, 12211, 11980, 11642, 12067]"
1685,BR,Brasil,27,Alagoas,AL,2702355,Craíbas,24396,0.525,"[2020, 2019, 2018, 2017, 2016]","[2504, 2199, 2195, 1410, 1118]"
1686,BR,Brasil,27,Alagoas,AL,2702405,Delmiro Gouveia,52501,0.612,"[2020, 2019, 2018, 2017, 2016]","[5369, 5666, 5597, 4909, 4772]"
1687,BR,Brasil,27,Alagoas,AL,2702504,Dois Riachos,11059,0.532,"[2020, 2019, 2018, 2017, 2016]","[545, 520, 521, 573, 610]"
1688,BR,Brasil,27,Alagoas,AL,2702553,Estrela de Alagoas,18304,0.534,"[2020, 2019, 2018, 2017, 2016]","[847, 856, 760, 788, 813]"
1689,BR,Brasil,27,Alagoas,AL,2702603,Feira Grande,22192,0.5329999999999999,"[2020, 2019, 2018, 2017, 2016]","[882, 910, 980, 958, 874]"
1690,BR,Brasil,27,Alagoas,AL,2702702,Feliz Deserto,4803,0.565,"[2020, 2019, 2018, 2017, 2016]","[398, 499, 654, 600, 526]"
1691,BR,Brasil,27,Alagoas,AL,2702801,Flexeiras,12823,0.527,"[2020, 2019, 2018, 2017, 2016]","[1067, 1063, 1096, 1049, 1030]"
1692,BR,Brasil,27,Alagoas,AL,2702900,Girau do Ponciano,41549,0.536,"[2020, 2019, 2018, 2017, 2016]","[1321, 1230, 1178, 1498, 1227]"
1693,BR,Brasil,27,Alagoas,AL,2703007,Ibateguara,15637,0.518,"[2020, 2019, 2018, 2017, 2016]","[762, 755, 764, 845, 832]"
1694,BR,Brasil,27,Alagoas,AL,2703106,Igaci,25596,0.564,"[2020, 2019, 2018, 2017, 2016]","[1332, 1333, 1316, 1304, 1348]"
