country_code,country_name,state_code,state_name,state_abbreviation,municipality_code,municipality_name,population_size,hdi,years,employability_rate
BR,Brasil,13,Amazonas,AM,1300300,Autazes,41005,0.577,"[2020, 2019, 2018, 2017, 2016]","[2391, 2383, 2328, 1887, 1544]"
BR,Brasil,13,Amazonas,AM,1300409,Barcelos,27772,0.5,"[2020, 2019, 2018, 2017, 2016]","[1466, 1180, 1128, 957, 809]"
BR,Brasil,13,Amazonas,AM,1300508,Barreirinha,32919,0.574,"[2020, 2019, 2018, 2017, 2016]","[2601, 2143, 1207, 954, 1207]"
BR,Brasil,13,Amazonas,AM,1300607,Benjamin Constant,44873,0.574,"[2020, 2019, 2018, 2017, 2016]","[2484, 2556, 2446, 2193, 1031]"
BR,Brasil,13,Amazonas,AM,1300631,Beruri,20503,0.506,"[2020, 2019, 2018, 2017, 2016]","[1202, 1218, 1167, 969, 267]"
BR,Brasil,13,Amazonas,AM,1300680,Boa Vista do Ramos,20040,0.565,"[2020, 2019, 2018, 2017, 2016]","[1417, 1339, 1245, 685, 680]"
BR,Brasil,13,Amazonas,AM,1300706,Boca do Acre,34958,0.588,"[2020, 2019, 2018, 2017, 2016]","[2489, 2326, 2132, 1952, 1565]"
BR,Brasil,13,Amazonas,AM,1300805,Borba,42328,0.56,"[2020, 2019, 2018, 2017, 2016]","[2648, 2367, 2188, 1960, 1942]"
BR,Brasil,13,Amazonas,AM,1300839,Caapiranga,13482,0.569,"[2020, 2019, 2018, 2017, 2016]","[929, 856, 915, 901, 840]"
BR,Brasil,13,Amazonas,AM,1300904,Canutama,15981,0.53,"[2020, 2019, 2018, 2017, 2016]","[611, 587, 580, 524, 320]"
BR,Brasil,13,Amazonas,AM,1301001,Carauari,28719,0.549,"[2020, 2019, 2018, 2017, 2016]","[1516, 1591, 1124, 1539, 991]"
BR,Brasil,13,Amazonas,AM,1301100,Careiro,38820,0.557,"[2020, 2019, 2018, 2017, 2016]","[1686, 1554, 1518, 1466, 1127]"
BR,Brasil,13,Amazonas,AM,1301159,Careiro da Várzea,31459,0.568,"[2020, 2019, 2018, 2017, 2016]","[942, 1133, 1100, 936, 838]"
BR,Brasil,13,Amazonas,AM,1301209,Coari,86713,0.586,"[2020, 2019, 2018, 2017, 2016]","[6991, 7945, 8074, 5690, 7058]"
BR,Brasil,13,Amazonas,AM,1301308,Codajás,29691,0.563,"[2020, 2019, 2018, 2017, 2016]","[1102, 1012, 1029, 1022, 782]"
BR,Brasil,13,Amazonas,AM,1301407,Eirunepé,36121,0.563,"[2020, 2019, 2018, 2017, 2016]","[1745, 1759, 1748, 1710, 1477]"
BR,Brasil,13,Amazonas,AM,1301506,Envira,20748,0.509,"[2020, 2019, 2018, 2017, 2016]","[1134, 1048, 1139, 1109, 725]"
BR,Brasil,13,Amazonas,AM,1301605,Fonte Boa,16409,0.53,"[2020, 2019, 2018, 2017, 2016]","[2180, 2029, 1910, 1704, 1908]"
BR,Brasil,13,Amazonas,AM,1301654,Guajará,17193,0.532,"[2020, 2019, 2018, 2017, 2016]","[680, 657, 687, 692, 748]"
BR,Brasil,13,Amazonas,AM,1301704,Humaitá,57195,0.605,"[2020, 2019, 2018, 2017, 2016]","[3438, 3646, 3532, 3299, 3000]"
BR,Brasil,13,Amazonas,AM,1301803,Ipixuna,31172,0.481,"[2020, 2019, 2018, 2017, 2016]","[343, 344, 334, 315, 357]"
BR,Brasil,22,Piauí,PI,2203255,Curralinhos,4475,0.555,"[2020, 2019, 2018, 2017, 2016]","[161, 184, 183, 171, 123]"
BR,Brasil,13,Amazonas,AM,1301852,Iranduba,49718,0.613,"[2020, 2019, 2018, 2017, 2016]","[4231, 4912, 4583, 4873, 3894]"
BR,Brasil,13,Amazonas,AM,1301902,Itacoatiara,104046,0.644,"[2020, 2019, 2018, 2017, 2016]","[10118, 9906, 10227, 9932, 8524]"
BR,Brasil,13,Amazonas,AM,1301951,Itamarati,7777,0.477,"[2020, 2019, 2018, 2017, 2016]","[852, 802, 763, 458, 378]"
BR,Brasil,13,Amazonas,AM,1302009,Itapiranga,9312,0.654,"[2020, 2019, 2018, 2017, 2016]","[306, 379, 498, 476, 233]"
BR,Brasil,13,Amazonas,AM,1302108,Japurá,1755,0.522,"[2020, 2019, 2018, 2017, 2016]","[1052, 1050, 689, 473, 444]"
BR,Brasil,13,Amazonas,AM,1302207,Juruá,15495,0.522,"[2020, 2019, 2018, 2017, 2016]","[924, 893, 823, 831, 506]"
BR,Brasil,13,Amazonas,AM,1302306,Jutaí,13462,0.516,"[2020, 2019, 2018, 2017, 2016]","[833, 761, 825, 786, 885]"
BR,Brasil,13,Amazonas,AM,1302405,Lábrea,47685,0.531,"[2020, 2019, 2018, 2017, 2016]","[2166, 2168, 2100, 2150, 1946]"
BR,Brasil,13,Amazonas,AM,1302504,Manacapuru,99613,0.614,"[2020, 2019, 2018, 2017, 2016]","[6175, 7184, 6178, 5479, 3960]"
BR,Brasil,13,Amazonas,AM,1302553,Manaquiri,33981,0.596,"[2020, 2019, 2018, 2017, 2016]","[964, 1132, 1027, 986, 573]"
BR,Brasil,13,Amazonas,AM,1302603,Manaus,2255903,0.737,"[2020, 2019, 2018, 2017, 2016]","[526003, 518306, 507738, 505682, 504078]"
BR,Brasil,13,Amazonas,AM,1302702,Manicoré,57405,0.582,"[2020, 2019, 2018, 2017, 2016]","[2027, 2347, 1993, 2010, 1990]"
BR,Brasil,13,Amazonas,AM,1302801,Maraã,18298,0.498,"[2020, 2019, 2018, 2017, 2016]","[788, 737, 735, 630, 630]"
BR,Brasil,13,Amazonas,AM,1302900,Maués,66159,0.588,"[2020, 2019, 2018, 2017, 2016]","[3666, 3673, 3613, 3574, 2557]"
BR,Brasil,13,Amazonas,AM,1303007,Nhamundá,21710,0.586,"[2020, 2019, 2018, 2017, 2016]","[1085, 1059, 905, 888, 722]"
BR,Brasil,13,Amazonas,AM,1303106,Nova Olinda do Norte,38665,0.558,"[2020, 2019, 2018, 2017, 2016]","[1460, 1560, 2101, 1489, 1395]"
BR,Brasil,13,Amazonas,AM,1303205,Novo Airão,20395,0.57,"[2020, 2019, 2018, 2017, 2016]","[1694, 1288, 1205, 1217, 1179]"
BR,Brasil,13,Amazonas,AM,1303304,Novo Aripuanã,26443,0.554,"[2020, 2019, 2018, 2017, 2016]","[894, 1083, 1253, 898, 690]"
BR,Brasil,13,Amazonas,AM,1303403,Parintins,116439,0.658,"[2020, 2019, 2018, 2017, 2016]","[6989, 6716, 6580, 6974, 4799]"
BR,Brasil,13,Amazonas,AM,1303502,Pauini,19616,0.496,"[2020, 2019, 2018, 2017, 2016]","[926, 943, 923, 859, 786]"
BR,Brasil,13,Amazonas,AM,1303536,Presidente Figueiredo,38095,0.647,"[2020, 2019, 2018, 2017, 2016]","[5133, 5335, 5951, 4916, 4808]"
BR,Brasil,13,Amazonas,AM,1303569,Rio Preto da Eva,34856,0.611,"[2020, 2019, 2018, 2017, 2016]","[2145, 1966, 1756, 1646, 1479]"
BR,Brasil,13,Amazonas,AM,1303601,Santa Isabel do Rio Negro,26566,0.479,"[2020, 2019, 2018, 2017, 2016]","[270, 793, 839, 991, 517]"
BR,Brasil,13,Amazonas,AM,1303700,Santo Antônio do Içá,20889,0.49,"[2020, 2019, 2018, 2017, 2016]","[1362, 1477, 1335, 1318, 1270]"
BR,Brasil,13,Amazonas,AM,1303809,São Gabriel da Cachoeira,47031,0.609,"[2020, 2019, 2018, 2017, 2016]","[2262, 2381, 2632, 2353, 1636]"
